0.352f338-0.311f128-0.31f105+0.294f442+0.294f472...,-0.423f453-0.422f493-0.334f281-0.333f433-0.332f153...,0.365f336+0.364f64+0.359f455-0.279f442-0.279f472...,'0.3  f241+0.299f475-0.286f28-0.286f451-0.286f318...','0.512f48+0.51 f378+0.196f455-0.19f318-0.189f28...',-0.151f312-0.142f322+0.125f498-0.115f138-0.114f481...,0.144f61-0.143f267+0.123f104-0.116f211+0.108f17...,'0.13 f489+0.126f141-0.121f278+0.118f228-0.112f268...',-0.139f250-0.128f339+0.117f165+0.116f486-0.116f195...,0.147f334+0.131f424+0.115f71-0.108f132+0.104f87...,-0.13f257-0.116f263+0.113f185-0.112f411-0.11f316...,-0.16f457-0.154f368+0.129f216-0.122f286+0.119f383...,-0.164f137-0.132f166+0.126f252-0.119f292+0.118f302...,0.133f117-0.116f147-0.114f383+0.111f84+0.111f50...,0.145f402-0.138f391-0.131f331-0.122f449-0.115f36...,-0.127f148+0.122f98+0.117f383+0.115f332+0.114f204...,-0.142f256+0.135f151-0.121f413-0.118f100-0.113f229...,-0.132f370+0.128f483-0.118f407+0.117f254+0.116f249...,-0.134f118+0.129f256-0.127f350-0.124f41+0.122f113...,-0.13f298-0.128f123+0.125f101+0.121f333+0.116f389...,-0.177f243-0.163f285+0.129f177-0.123f43-0.119f406...,'-0.124f496+0.12 f334+0.12 f139+0.113f435-0.108f328...',-0.16f70-0.124f283+0.123f188-0.121f137+0.117f467...,'-0.161f466+0.153f144+0.129f310+0.11 f365-0.106f499...',0.187f68+0.121f221-0.121f489-0.119f12-0.111f62...,0.153f183-0.145f136-0.135f355-0.134f163-0.127f3...,0.132f404+0.123f232+0.116f478-0.115f262-0.11f115...,'0.17 f484-0.14f168-0.129f307+0.129f49+0.12 f391...',-0.169f397-0.139f376+0.134f25-0.131f414+0.123f496...,-0.139f94+0.132f450+0.125f209+0.124f361-0.123f445...,-0.131f432+0.125f308+0.123f324-0.121f245+0.119f430...,0.143f452-0.13f445-0.121f385-0.12f82-0.113f386...,-0.156f356-0.143f417-0.134f421-0.126f492-0.122f344...,'-0.126f414-0.122f261+0.12 f162+0.118f429-0.115f57...',-0.163f129-0.129f314+0.121f152+0.115f164+0.114f106...,-0.142f275+0.137f8-0.132f313+0.128f42-0.114f206...,-0.158f149+0.136f116+0.136f51-0.134f171-0.122f165...,'-0.148f430+0.14 f381-0.129f223-0.128f276-0.125f96...',-0.147f407+0.137f429+0.126f361+0.123f11-0.12f199...,-0.177f448-0.169f233+0.136f236-0.13f409+0.129f26...,'0.144f461-0.132f311+0.12 f106-0.113f49-0.109f138...',0.158f181+0.119f175+0.116f163-0.116f80-0.115f280...,'0.15 f176+0.135f259+0.122f236-0.118f345-0.107f408...',-0.162f347+0.159f419+0.159f213+0.156f273+0.139f123...,-0.151f468-0.148f86+0.131f95+0.128f17-0.12f204...,'0.18 f218-0.135f100-0.125f406-0.121f146+0.119f39...',0.134f180+0.129f302+0.123f6+0.118f445+0.117f175...,-0.211f97-0.164f399-0.137f159+0.134f415-0.129f474...,-0.165f195-0.145f152+0.138f65-0.128f142-0.118f108...,-0.151f450+0.118f486-0.115f424+0.114f470+0.112f380...,-0.138f393-0.129f354+0.124f481+0.119f204-0.115f261...,'0.14 f456-0.136f189+0.136f4-0.123f8-0.121f143...',0.124f430+0.122f189-0.121f436+0.121f62-0.12f381...,0.161f483-0.149f171+0.128f471+0.126f213-0.123f441...,-0.121f119-0.12f24+0.116f315+0.113f446+0.113f454...,'0.144f377+0.132f296+0.13 f332+0.127f363+0.122f337...',0.168f157-0.128f252-0.126f445-0.124f214+0.124f470...,'-0.135f436-0.134f309+0.13 f459+0.115f452+0.113f122...','0.15 f201-0.124f396+0.118f308-0.115f21+0.114f496...',-0.145f377+0.128f91-0.127f465-0.124f394+0.121f379...,-0.137f260-0.134f238-0.122f257-0.118f334+0.118f68...,'-0.138f62-0.125f47-0.125f396+0.12 f371+0.118f176...',-0.139f103-0.134f142-0.131f118-0.129f212-0.124f466...,'-0.155f343-0.144f406-0.136f250+0.13 f377+0.123f454...','0.154f168-0.143f101-0.123f69-0.122f441+0.12 f160...',-0.134f437+0.118f420+0.108f278+0.108f285-0.107f458...,-0.134f246+0.124f93+0.117f76-0.113f71-0.112f224...,-0.132f54-0.129f332-0.121f402-0.12f440-0.119f449...,-0.131f428-0.13f78+0.126f38+0.121f199-0.119f174...,'-0.142f73+0.135f5-0.122f341+0.121f314+0.12 f47...','0.149f263+0.13 f193-0.12f461+0.113f73-0.11f345...',0.156f361+0.131f215+0.113f11+0.113f68-0.111f235...,0.145f449-0.129f428+0.123f178+0.123f401+0.121f196...,-0.137f325+0.132f317-0.126f11-0.125f401-0.121f186...,0.156f375-0.141f52+0.123f471+0.115f494-0.113f324...,-0.163f142-0.144f228-0.125f293-0.122f343-0.114f445...,-0.135f15-0.123f201-0.119f337+0.119f490-0.111f268...,0.161f484-0.151f294-0.122f305+0.117f139-0.114f310...,0.136f226+0.127f232-0.12f350-0.107f371-0.106f198...,'-0.127f321+0.12 f196+0.119f399+0.117f426-0.112f431...',label
0.679376,-0.947662,3.624375,0.251289,-0.606473,-0.987048,3.09689,2.402419,-1.053002,-1.011378,-0.12954,0.23266,0.206357,-0.76425,-1.648793,-1.7769,-1.432567,-2.498575,3.095981,0.901376,-0.601803,-1.828741,0.399501,1.664199,1.561271,-0.372397,-0.30334,1.798984,-1.018,-0.356249,-1.8283,1.276711,-2.688363,-0.315487,0.879512,3.333781,0.92385,-0.316886,-0.988023,1.074368,0.673631,-1.31352,-0.702051,-0.394761,-2.328423,0.666844,0.381779,0.0493,-2.498869,1.235701,-1.731333,2.896008,1.994601,-0.588172,2.022391,-1.293768,-0.975941,0.867707,-0.189956,-0.523196,-3.078032,2.838133,-1.101108,-0.505985,2.322628,-0.016086,1.932243,0.186543,-0.127487,-2.303071,0.882758,0.68618,1.30902,1.74066,1.07897,1.570385,1.113802,-0.527778,-1.502879,0.214382,0
1.998193,-1.375364,-2.270861,-0.773118,0.785269,0.863526,2.021129,-0.932223,1.40628,0.001122,0.076535,1.195859,0.076706,-2.294213,-1.248319,-0.362198,0.531843,0.149592,0.657477,-2.066688,-0.371829,0.073967,-1.111301,-1.25493,0.260457,1.931821,-0.341243,-1.699215,-0.883926,-2.690177,-1.445771,0.003171,-0.731325,-0.644932,0.642106,-2.350689,0.448241,-2.085637,-1.988463,-0.280731,-0.630362,0.357998,1.833527,0.718509,0.230493,0.823061,0.444437,-0.979698,-0.991628,-0.344317,-1.660632,0.617924,-0.713416,1.051346,1.365664,-1.126421,0.73584,-0.255744,2.860207,-0.00211,-0.29594,-0.081446,1.111008,-0.629131,0.962298,-0.377007,0.585323,-1.678639,1.710027,0.294149,-0.279936,1.520293,-0.002508,0.713086,0.046373,-0.399649,0.586029,-1.047888,1.828401,0.585111,0
3.013117,-3.338687,-0.677961,-0.515536,0.879443,0.852956,-1.485997,1.753048,-1.4121,-1.569515,1.193986,-0.574656,1.315094,0.99732,-0.40571,-3.145228,1.481015,1.0007,-1.269365,-0.831051,-1.902839,-1.582224,-0.755643,-0.341157,-0.894315,-2.054381,1.158695,-0.486327,0.138228,1.251183,-2.136043,0.822954,-2.096391,1.520271,0.592421,0.118602,-1.631707,-0.139867,1.363337,2.446301,1.432868,-0.022623,-2.656247,0.281044,0.667763,0.09001,0.534671,-1.211199,0.432277,-1.188042,0.174232,0.808397,0.748925,-1.07858,2.409635,2.615752,-2.132801,0.857892,2.423575,1.377605,0.569889,0.204365,0.001783,0.445772,-2.522049,0.624175,-0.709444,0.053282,0.029408,-0.792763,1.091581,1.579282,0.735996,1.124449,0.447478,2.15666,1.34617,2.125866,-0.484946,0.812485,1
-0.163362,-1.408452,-1.366989,1.202971,-3.320731,-1.209242,1.589882,1.575713,0.338355,2.480451,-2.196772,-0.048311,-1.199053,0.859014,0.324025,0.065466,0.745635,-1.282886,1.542525,1.145706,0.151436,-0.239484,-1.637387,-0.117533,-0.845864,1.421597,-3.985546,0.701506,-1.059142,-0.602165,0.273499,-0.250877,-1.560141,-0.676969,0.719918,1.951696,-1.126088,0.949014,1.472021,-0.861482,-2.373807,-1.495411,0.816127,-0.733581,0.534664,-0.145985,1.245528,0.687663,1.035876,-0.164528,1.165801,0.191228,1.315442,0.015463,-1.589237,-1.495304,0.475223,1.212781,0.2411,0.595973,-1.708753,-0.649124,-1.100925,0.745863,-0.87111,0.444325,-1.329037,-1.312418,1.371378,0.554483,-1.992877,-0.560628,1.812781,-0.808448,-2.007571,0.040846,0.841776,0.459039,0.364213,-0.670973,0
-2.155283,-2.243123,0.314844,-2.407165,1.152095,-2.251102,-1.479917,0.311831,0.582522,-0.07504,0.490159,0.610661,-0.111297,-1.052133,-0.614794,-0.664273,-1.858984,0.46753,1.016139,-1.341273,0.973862,0.277907,0.446685,0.81969,0.083091,-1.131907,-0.005282,1.050613,-0.016461,1.341599,0.71478,-1.124784,1.748313,-0.187634,0.183395,0.167998,-0.9029,0.479656,-0.348175,1.798407,-1.527821,1.109771,0.355327,1.954415,0.098938,-0.123139,-0.440569,-0.619081,0.056809,1.061842,-0.879256,-1.029722,2.061433,-0.091819,-0.368597,-0.862891,-3.187855,-0.386117,-0.098642,-1.940667,-1.784795,-0.998668,0.477906,0.631493,-0.000015,-0.376681,-0.22691,1.424591,-0.665031,-0.515959,1.694112,0.099254,0.039762,-0.303865,-2.363849,-0.261647,-1.081231,-0.927192,1.020711,0.656553,0
2.298164,-3.989831,-0.841295,2.804481,-1.491173,1.199163,-2.493306,0.471522,1.598812,0.568154,-0.213454,0.710956,0.025464,0.661659,-1.290428,-1.288394,-0.726122,-1.26275,-0.88283,0.014065,-1.775363,-2.525207,-1.321423,-0.429617,0.816681,-0.173274,-0.170715,-1.167783,0.243563,-0.447506,-0.284052,0.771884,0.072962,0.728506,-0.649677,-0.241074,-0.113159,-0.891591,1.206381,0.401514,-0.790703,0.314083,0.735438,-1.077644,0.951441,1.346585,-1.391853,-0.820302,1.205374,0.766781,-0.34957,0.976989,0.679054,0.894877,-0.893526,-3.351336,0.884508,-0.634078,-2.505341,1.89327,0.129883,1.724192,-0.341678,-0.942824,0.59658,-0.906954,0.211957,-0.929909,1.765411,-0.22971,0.389931,-1.422986,-0.469972,2.004956,2.246831,-0.561005,-0.240506,-0.015169,-1.237842,-0.207025,0
-0.764973,4.720471,1.703678,0.904531,-1.706757,-1.60757,-0.895914,1.104897,-1.162134,-0.430888,-0.848916,-1.003535,-0.571345,-1.628039,-0.512021,-0.079416,0.548963,-2.029691,-0.449366,-2.967075,0.059109,1.711237,2.411187,-1.035899,0.101195,0.336004,0.322546,0.316678,-1.283132,0.026736,-0.209307,1.524117,-1.639033,1.317874,-0.47952,1.383413,2.039125,0.837487,0.891949,0.335118,1.680239,0.460029,1.089859,0.414543,-0.076603,-0.740711,0.339368,1.092331,0.906857,-1.451285,-0.144108,0.450538,-0.456846,2.036832,-2.167221,-0.292327,-0.400994,-0.761456,1.178784,-0.848883,0.416612,2.718091,-1.819647,-0.687564,0.108551,-0.694555,0.254399,-0.472738,0.337998,3.108682,0.9997,1.672363,-0.741468,-0.254165,1.514246,-0.560393,-1.01231,1.30369,1.67102,0.308896,0
1.70208,-2.200715,4.473064,-0.658959,3.203363,-2.054091,0.560689,0.790367,0.196961,-0.870597,-1.462243,1.671931,-0.570414,-0.572131,-1.343073,0.859401,-1.7914,-0.151033,-0.473352,-0.364778,-0.450781,0.441075,-1.707887,-0.150297,-0.356035,-2.814862,-0.03549,-0.158816,1.399296,1.632933,0.49251,0.4378,1.684063,-1.56907,-0.79745,-2.326434,1.698713,0.489871,0.809849,1.993379,2.084133,-0.782331,1.552517,0.203083,-0.042136,0.325169,2.271798,0.303713,-0.086837,2.805593,1.673031,1.759006,0.33543,-2.139034,-0.998854,0.856131,-0.72425,0.521594,0.239298,0.459448,-0.558905,2.341763,-0.444785,0.100109,0.704251,-1.776183,-0.914883,0.830528,0.641247,0.198189,-0.069099,0.287313,1.716223,2.009939,-1.597716,-0.971861,-1.018163,-0.723577,-0.496447,-0.295177,1
2.838388,-3.643192,2.243668,0.398048,-0.680235,-3.070789,-0.326617,1.685603,-0.719685,1.922073,0.767017,-3.321693,2.910522,1.012427,-1.567059,0.078458,-0.438476,1.430564,0.316854,2.01451,1.50115,-2.338758,-0.193983,0.829957,-0.309412,0.606552,-1.230396,-0.247633,2.133872,-0.095641,-2.088907,1.508007,-1.083494,1.444798,1.875824,-0.074517,-2.615025,1.747187,-0.220618,2.072535,0.798852,1.158714,-3.469569,0.154101,-0.190939,-1.652539,2.8916,1.411255,-2.371498,-0.091622,1.600931,0.097531,0.372695,-0.048933,1.135312,-0.636542,0.597302,-0.277515,2.019143,-1.670092,-1.699664,1.010495,2.17936,1.459758,0.740393,-0.788265,-2.67837,0.620913,-1.054977,-0.474474,0.772772,-1.149618,3.086281,0.829674,1.290318,-0.470211,0.967656,1.109335,1.025568,0.544548,0
-3.455865,3.182204,-1.927981,-0.718962,-0.712421,-0.078747,-1.838532,1.435627,1.646069,-0.009635,0.923189,0.620883,-1.890436,-0.729798,-0.13447,2.412137,-2.197365,1.447536,-4.168459,1.381841,0.022173,-0.828271,2.602637,2.629132,0.952361,-1.236717,-1.64366,0.193014,2.306536,-1.254591,0.6501,-1.522646,-0.523073,-0.258413,-1.375136,-2.032329,-0.317738,-3.09939,0.520872,0.559328,-1.738831,2.521759,-1.853534,-0.109551,-1.290792,0.963133,-0.356371,-0.661435,0.495767,-1.727245,-0.028472,-0.539433,0.950327,-0.956036,-0.913024,-0.465939,-0.265561,1.949145,0.640005,-0.485809,-0.99645,0.768949,0.115905,1.295829,2.685872,-0.620128,1.560105,-1.177355,-2.110689,1.802573,-1.591817,2.08591,0.150011,0.3618,2.54779,2.051338,0.77003,0.089265,-0.237885,-1.804058,1
