0.352f338-0.311f128-0.31f105+0.294f442+0.294f472...,-0.423f453-0.422f493-0.334f281-0.333f433-0.332f153...,0.365f336+0.364f64+0.359f455-0.279f442-0.279f472...,'0.3  f241+0.299f475-0.286f28-0.286f451-0.286f318...','0.512f48+0.51 f378+0.196f455-0.19f318-0.189f28...',-0.151f312-0.142f322+0.125f498-0.115f138-0.114f481...,0.144f61-0.143f267+0.123f104-0.116f211+0.108f17...,'0.13 f489+0.126f141-0.121f278+0.118f228-0.112f268...',-0.139f250-0.128f339+0.117f165+0.116f486-0.116f195...,0.147f334+0.131f424+0.115f71-0.108f132+0.104f87...,-0.13f257-0.116f263+0.113f185-0.112f411-0.11f316...,-0.16f457-0.154f368+0.129f216-0.122f286+0.119f383...,-0.164f137-0.132f166+0.126f252-0.119f292+0.118f302...,0.133f117-0.116f147-0.114f383+0.111f84+0.111f50...,0.145f402-0.138f391-0.131f331-0.122f449-0.115f36...,-0.127f148+0.122f98+0.117f383+0.115f332+0.114f204...,-0.142f256+0.135f151-0.121f413-0.118f100-0.113f229...,-0.132f370+0.128f483-0.118f407+0.117f254+0.116f249...,-0.134f118+0.129f256-0.127f350-0.124f41+0.122f113...,-0.13f298-0.128f123+0.125f101+0.121f333+0.116f389...,-0.177f243-0.163f285+0.129f177-0.123f43-0.119f406...,'-0.124f496+0.12 f334+0.12 f139+0.113f435-0.108f328...',-0.16f70-0.124f283+0.123f188-0.121f137+0.117f467...,'-0.161f466+0.153f144+0.129f310+0.11 f365-0.106f499...',0.187f68+0.121f221-0.121f489-0.119f12-0.111f62...,0.153f183-0.145f136-0.135f355-0.134f163-0.127f3...,0.132f404+0.123f232+0.116f478-0.115f262-0.11f115...,'0.17 f484-0.14f168-0.129f307+0.129f49+0.12 f391...',-0.169f397-0.139f376+0.134f25-0.131f414+0.123f496...,-0.139f94+0.132f450+0.125f209+0.124f361-0.123f445...,-0.131f432+0.125f308+0.123f324-0.121f245+0.119f430...,0.143f452-0.13f445-0.121f385-0.12f82-0.113f386...,-0.156f356-0.143f417-0.134f421-0.126f492-0.122f344...,'-0.126f414-0.122f261+0.12 f162+0.118f429-0.115f57...',-0.163f129-0.129f314+0.121f152+0.115f164+0.114f106...,-0.142f275+0.137f8-0.132f313+0.128f42-0.114f206...,-0.158f149+0.136f116+0.136f51-0.134f171-0.122f165...,'-0.148f430+0.14 f381-0.129f223-0.128f276-0.125f96...',-0.147f407+0.137f429+0.126f361+0.123f11-0.12f199...,-0.177f448-0.169f233+0.136f236-0.13f409+0.129f26...,label
-0.746789,3.821454,-3.924966,1.420127,0.855325,0.629469,-1.00382,-1.558674,1.040799,2.509335,-1.710336,-1.799596,0.831063,-1.117343,2.646031,1.526236,1.827792,0.874435,0.508497,0.480551,2.171636,-0.855511,0.593677,1.590993,-2.233311,1.903179,-0.933551,0.567855,0.856031,1.15101,0.565758,-1.139429,-0.020032,0.614532,-0.182444,3.896104,0.669695,0.254165,0.715328,0.01146,0
2.963188,-2.242895,-0.857389,-3.183613,-1.535168,-0.70802,0.409929,-0.738081,-2.054002,0.550359,-3.951415,2.319215,2.368783,1.064511,0.235382,0.619279,-1.524096,-1.387242,-0.79829,-1.78269,-1.656937,0.390238,1.201649,-1.491686,0.337694,-1.648522,0.771204,-1.199949,1.442241,1.323443,0.312488,0.527992,0.972262,-1.98536,-0.570973,-0.606324,-1.760843,0.165125,0.891549,0.117238,1
1.966764,0.162612,2.850325,0.367123,-2.263372,0.283125,-0.562175,-0.342232,0.045586,-0.211326,0.154238,2.297781,-1.546878,-0.393772,0.970166,2.612081,1.843475,2.955048,-1.335932,1.035398,0.339219,0.146804,-0.596562,-1.148691,1.874083,-0.377311,0.634311,-0.442325,-1.323078,-1.228068,-0.848719,-0.619968,-0.588253,-0.502581,-0.137469,0.231203,2.35585,-0.858041,1.224808,-1.197092,0
-0.906787,2.708559,-1.39782,-0.117816,-2.401655,0.542513,-1.068423,-0.569205,-0.60045,0.796069,-1.266791,-1.07886,2.680616,-1.009706,1.220421,1.865486,-0.412529,0.532721,0.480736,-0.277493,-0.315099,-0.462044,-1.804585,-1.177061,0.81083,-1.984271,1.338641,0.188609,1.166034,-1.111369,0.646779,-0.038363,-0.024753,-1.171724,0.842863,-0.326395,1.753127,-1.815667,1.019727,-0.056481,1
1.137267,-1.427633,-0.756194,0.404727,-1.767617,-0.591422,-0.093324,-1.114178,3.564429,-0.272425,-0.358538,2.064221,-2.073758,-1.984005,-1.185501,2.127,0.998906,2.235862,1.781856,0.183134,1.152761,-1.567891,1.491246,-2.46946,1.734299,-2.08875,1.63636,-2.036429,-1.550253,0.722638,-1.118262,-0.799001,1.655375,0.042986,-0.968506,1.281757,0.025555,1.27924,-1.590955,1.075753,0
0.43431,-1.786848,-1.01794,1.048232,-1.771703,-1.21701,1.510763,-0.511455,-0.456857,0.859581,-0.348149,-2.214426,-0.901421,-0.910438,1.510825,-1.042244,-0.774667,2.178733,-1.169974,-1.955195,-1.580985,0.425434,2.884557,-0.649928,1.279027,-1.229769,-0.116616,-0.112706,-0.394832,0.921089,0.941358,-0.869826,-1.026013,-1.226067,-1.103717,-0.130648,-0.683215,0.130256,-0.005813,1.504051,0
3.559699,-1.892921,-0.298407,-1.314874,-1.345315,1.732113,-1.273524,-2.060849,-0.573915,1.97054,1.039841,-0.566801,0.653213,-1.484699,1.730319,-0.405418,1.312997,-2.140046,-1.213216,-0.207879,-0.31631,2.809476,-0.663353,-1.079053,-0.861676,-0.564572,-2.326157,-1.470926,-0.347298,0.498076,-3.265122,1.281392,-1.662384,1.276536,0.161299,-0.950676,-0.258358,1.338325,-1.358317,0.158815,1
-1.35348,3.631933,-3.950375,0.183378,2.259013,-3.000302,-0.880135,-1.243337,1.955592,1.555364,0.715091,-2.35575,1.548031,0.336093,3.678659,-1.454482,0.424733,-0.409719,1.447344,0.112355,-0.452055,0.770271,-1.220666,-0.329228,1.046488,1.89732,0.107944,-2.023143,-2.264934,1.101427,-0.433858,1.271394,2.312521,0.203801,1.532809,-0.697635,-2.098228,-1.106575,-1.262229,1.489671,0
2.684427,-3.34434,3.507509,1.111889,3.93529,-2.116098,-0.781161,-2.500023,-0.010899,2.779319,-2.033797,-1.896503,-1.205104,-1.196007,1.959931,2.083168,-0.852254,-1.909453,-1.518291,-1.386331,0.18313,0.726533,-0.442347,-0.041965,-0.498159,-1.429066,1.161316,0.104978,-0.083405,-1.736062,-2.326524,1.041287,-1.42735,-1.583794,-0.204497,1.041258,0.595378,-2.936986,0.13174,-1.857985,1
3.389997,-0.623146,-1.555181,-1.248518,0.556462,-0.435449,0.405657,0.431638,0.453517,1.12794,-0.95625,0.178099,-1.299606,1.279025,0.254786,0.709677,-1.211434,-0.810297,-0.046676,-1.332613,1.649474,-0.363121,-2.173873,0.60719,0.945951,0.477212,0.78399,-0.390464,0.566646,1.176159,1.964884,-0.043213,0.322395,-1.450121,-1.241794,-0.143779,-0.903603,0.804686,1.80101,-0.891746,0
-0.549891,-0.359625,3.980172,-0.877485,-1.139727,-0.138857,0.971312,-0.549273,0.172743,1.825282,-1.383252,-1.854611,-3.277966,1.265616,-0.356092,-1.135628,-1.474382,-1.377187,-1.021641,-2.082957,-0.571626,1.085234,1.177524,0.508525,2.497026,0.526606,2.553963,-1.16056,-0.952652,-2.832336,1.920591,0.314484,0.368411,-0.873668,1.331044,2.193045,1.949245,-0.649141,-0.775225,0.554814,0
-3.209158,1.480193,2.624749,0.675105,-1.146544,3.184544,0.823523,0.330969,0.479561,-0.887235,0.606366,-0.976219,0.66528,1.24808,0.084189,0.840599,-3.184867,0.677649,-1.046306,-1.943551,2.900989,1.527764,-0.246044,1.285562,0.189514,0.311708,-1.595117,-0.533292,-0.923745,0.321014,-2.057754,-0.350993,0.240957,-0.123976,-0.453092,-1.388331,2.904455,0.804414,-1.619702,1.582333,1
0.921766,0.405326,0.194254,-2.230416,0.093482,0.13033,-1.561764,0.282035,-0.57194,-0.656161,1.557437,-0.773455,-0.680362,-2.594235,-0.16615,1.925327,-0.051319,0.716085,-0.683789,1.725357,-0.418329,0.522319,2.009615,-2.042659,1.421309,0.019163,-0.578427,-0.222924,0.248152,0.425716,1.345891,-2.597343,-0.769961,0.085171,1.319666,-1.904936,0.007562,1.910194,-1.502897,-0.122953,1
-0.083524,-2.044847,1.144259,0.327265,-2.502762,-1.706637,2.017859,-1.964428,-2.539988,0.047358,-0.052236,1.326479,1.374257,-1.924799,0.099927,0.054198,0.387457,-0.436326,0.024591,2.422943,1.580522,2.083953,-1.393311,0.112534,-0.281133,0.540411,-0.585347,0.419484,-0.370575,0.850344,2.505716,0.033006,-1.131802,-1.644206,2.159221,-1.06551,-0.388028,-1.876456,0.750435,-0.302043,1
-1.783119,2.637165,1.065955,-2.055963,2.416356,1.082423,0.570711,-1.740253,-2.795598,3.206328,1.496297,-1.784615,1.819469,-2.013174,-2.615241,-1.06301,-0.219226,-2.055538,1.315027,0.081568,-1.132277,-0.030467,-0.194735,0.387168,1.483613,0.640294,-0.342443,-2.601727,0.654923,2.015899,0.171154,3.754642,0.481723,-0.489917,1.143722,0.225143,-2.866176,-2.795416,-0.137453,-1.938417,1
0.762731,-1.006915,3.582275,-1.439325,-0.357313,1.047057,-1.701512,0.750869,0.314326,1.375476,0.605292,0.726318,-1.366655,-1.334087,0.462115,0.96038,-1.200144,0.726077,-0.461226,-2.271532,1.511965,-2.081908,0.836729,0.366426,0.906717,0.16049,1.019987,-1.174739,-3.677261,-0.778288,-2.203167,-1.079894,-1.608712,1.281115,1.836981,-2.010392,0.260782,-0.359221,-0.028477,2.678428,0
2.425755,-1.35209,-1.408559,-0.833692,2.444484,0.95789,1.342362,1.459369,0.20519,-1.788361,0.135247,-2.397053,1.292592,-0.787617,-0.305158,-0.720393,-0.003356,0.123183,0.568831,-1.84382,1.741085,0.312538,-0.633478,1.082321,0.233531,-1.978078,1.051597,-0.958054,1.148874,-0.64674,-0.87804,1.804808,-0.065529,-1.56923,-0.128344,0.578273,1.202076,-2.102396,0.080064,-1.223309,0
3.020897,-3.123532,-0.229563,-1.084828,-1.065332,-2.04549,-0.001016,-0.664696,0.655637,0.394359,0.581824,0.5043,-1.252538,-1.837128,-0.386865,0.358201,-1.09167,0.026781,0.358955,0.70628,-0.429296,-2.937195,-0.670672,-1.129597,0.118031,0.63859,-1.1202,0.173966,-0.366978,0.260711,0.980509,-1.634799,-0.592175,0.290043,-0.294377,2.534216,-1.188939,0.249926,-0.744642,1.25432,0
3.553564,-0.990919,-2.269934,-2.159552,0.673389,-1.174444,0.759079,-1.01237,-0.302978,-1.112537,0.348225,2.286957,0.323743,2.569117,-1.104016,1.004796,0.681558,-1.226075,0.452265,-0.003745,-0.598284,1.46212,0.707938,-0.91878,-2.192117,0.446923,2.120605,-1.187131,-1.412256,-0.22994,1.577988,-0.660334,0.279719,0.00872,0.401538,1.979849,-0.104076,-2.993567,0.566333,0.774666,0
-2.518526,0.183646,-3.109973,0.220076,-1.298313,-0.686273,0.901303,2.113078,-1.584881,0.637972,-1.601521,-1.298647,1.01242,1.045974,0.623899,0.105097,-1.727557,-0.749632,-2.677545,1.004038,-1.151786,0.871942,-0.503142,0.562009,-0.438573,0.274295,1.722494,-1.784314,-1.266376,-0.488076,-0.184924,-0.365555,0.017513,0.244879,0.266666,2.042389,-2.003601,0.572039,-0.023451,2.331511,0
-2.4583,2.698705,-1.538892,-0.59121,-1.391833,-0.409571,-0.599082,0.36998,2.327526,0.747132,1.71215,0.37453,-0.71392,1.107435,-2.821168,-2.559167,1.217871,-1.703921,-0.530736,-2.297415,-2.950557,0.981989,0.023922,-0.973311,0.924003,-1.662693,0.987251,1.490261,1.026929,1.189813,0.230632,-0.776818,-0.612373,-1.569435,-0.257597,1.883558,-2.496552,0.672592,1.105405,0.155284,1
-2.713331,-1.341074,-1.519281,1.176977,2.121303,-0.092317,-0.120925,-0.441891,-0.044515,4.038357,-0.968212,1.231682,2.307253,-0.03074,0.22379,0.057392,3.205415,-1.606193,1.770233,-1.53626,1.520083,0.838325,-2.301371,1.46312,-0.794336,-2.373495,-0.531168,2.338422,-0.494636,1.227739,-0.886622,-3.15808,1.230841,0.691672,1.810048,0.140951,0.133248,0.594286,1.356326,-0.053463,1
4.011348,0.148044,-1.02314,-1.595683,-1.050026,-0.913166,0.149496,0.130371,1.758507,-1.402925,-0.802348,2.013398,-0.378607,-0.686205,0.089132,0.52178,0.422454,0.192588,1.999317,-1.006271,-0.134268,-0.411938,2.137356,1.201025,1.564858,-0.473745,-2.139231,0.415695,-0.893126,2.122521,-1.802804,1.824929,-0.815391,-0.561361,0.923533,1.940657,1.53713,0.954203,-0.091956,0.881513,1
0.064469,1.208098,-0.053086,-0.882103,2.481793,-1.479862,1.423864,-0.28037,0.850556,-0.807181,0.484723,1.616055,1.664598,-0.849854,1.764199,-2.195081,3.066951,-0.091677,-0.064096,0.023952,-0.051946,1.65301,-1.992165,-0.910121,-0.556379,1.212831,-0.018724,0.764303,0.389421,2.371195,-1.637658,0.491888,-0.614627,0.344052,-0.178192,0.608823,0.529949,-0.536804,0.716565,0.926163,1
-2.043295,2.594474,-2.804026,-0.070527,1.379597,2.93235,0.398435,-0.498927,-0.372955,1.623083,1.743565,2.23977,0.672712,-1.741939,1.747247,-0.456514,1.649149,-0.450787,-0.972014,0.701613,0.371668,1.342734,-0.328995,-2.419338,1.162125,-1.959836,0.598871,-1.186718,0.952133,0.343049,0.325182,1.479402,-0.586391,0.562954,1.593925,-0.447499,0.636746,0.926149,-0.445337,-0.059009,0
1.993941,-1.229286,-3.314172,-1.728195,1.073483,-1.032685,-1.660226,-0.476106,1.03417,0.922449,-3.18984,0.266051,0.687224,0.350504,1.855274,3.241823,-0.045912,0.12974,-0.592244,-1.270808,0.105471,0.495383,0.533834,-0.654024,1.825721,-1.951317,0.643476,1.589183,2.739354,0.743249,-2.985792,2.216153,-0.232274,-1.767387,0.503173,0.271506,-1.032992,0.180911,-0.840486,-0.735117,0
-0.740019,0.102428,0.668844,2.503172,2.695607,0.041168,-0.777031,-0.341568,-0.941505,-1.029037,-0.087184,-2.174666,1.328403,-2.225678,2.711587,-3.366461,-0.583944,0.414605,-1.580238,-1.726125,0.326506,1.158195,-2.320297,0.037356,1.212173,-3.066011,1.742576,-0.978211,-0.293963,-1.215152,-0.520242,0.813088,1.241214,1.109228,0.777667,-0.338497,1.035277,2.052616,-1.105677,-0.735997,1
2.178392,-2.786819,-0.423878,0.603996,-1.031434,0.801039,2.267241,0.329612,0.342195,-0.850605,-0.900816,-2.378431,-0.034234,2.556279,-1.773695,-0.804223,1.180508,-1.960691,0.530029,1.50946,0.979022,-2.899957,1.142141,-1.109947,1.11051,1.562837,0.195971,-1.59994,1.696019,1.493713,0.36506,0.763044,-2.669083,1.327417,-1.317443,-0.492655,-0.727971,0.259366,-1.411291,-2.210699,0
-4.2556,0.876881,-2.99347,0.27458,-2.829203,-1.360294,-1.455821,-1.243394,0.396938,-0.875019,1.099379,-2.001597,-1.208322,0.31342,-2.680984,0.833595,-0.282332,1.87497,-0.315619,0.007816,0.019819,-0.329015,2.547458,-0.786529,-0.232212,-1.739098,1.359484,1.816775,0.723604,-3.115225,0.834316,-0.221948,0.215161,0.811601,-0.151157,0.115784,0.885659,-0.932359,1.197967,-0.085958,0
2.411756,0.024451,0.834594,-0.871045,1.651775,2.645543,-3.228062,-1.49041,-1.924477,1.541679,0.527317,1.975205,-0.555538,0.356485,-0.145639,-2.04493,-1.159799,-2.335963,1.588585,1.425691,0.41371,-1.587146,-0.520946,1.137189,-0.578599,0.291176,0.520327,-1.507113,1.127946,0.419142,0.120202,-0.087435,-0.99123,0.756792,1.211109,1.249259,-0.936537,-0.913081,-0.83082,2.819253,0
0.325383,-3.074896,-1.511155,1.726093,-3.171212,-0.760589,1.250397,-2.526685,-1.689072,-0.18662,1.715794,-0.508962,1.866935,1.239197,-1.316012,0.585309,-1.816052,-1.524199,0.767527,-0.628086,-0.55679,-0.020783,0.141341,-1.241962,0.472465,0.826384,-1.587809,-0.883958,-1.093269,-0.850494,-0.081897,0.780873,-1.373851,-0.867082,0.265037,-2.311704,0.267902,1.010437,0.158055,-0.330347,0
